ID,Name,Owner,Controler,Religion,Culture
2104,Birija,MYR,MYR,tengri_pagan_reformed,manchu
2105,Kuru,MYR,MYR,tengri_pagan_reformed,manchu
2106,Furdan,MJZ,MJZ,tengri_pagan_reformed,manchu
2107,Ningguta,MJZ,MJZ,confucianism,manchu
2108,Huncun,MJZ,MJZ,confucianism,manchu
2109,Boduna,KRC,KRC,tengri_pagan_reformed,chahar
2110,Yehe,MHX,MHX,confucianism,manchu
2111,Hetu Ala,MJZ,MJZ,confucianism,manchu
2112,Andong,CSH,CSH,confucianism,manchu
2113,Gaizhou,CSH,CSH,confucianism,shandong_culture
2114,Ereen,OIR,OIR,vajrayana,mongol
2115,Chahar,OIR,OIR,vajrayana,mongol
2116,Ih Huree,OIR,OIR,tengri_pagan_reformed,khalkha
2117,Zasagt,CHG,CHG,sunni,khalkha
2118,Urzhar,CHG,CHG,sunni,oirats
2119,Chuguchak,CHG,CHG,sunni,oirats
2120,Ili,CHG,CHG,sunni,uyghur
2121,Kuqa,KAS,KAS,sunni,uyghur
2122,Hami,CHG,CHG,sunni,oirats
2123,Qakilik,CHG,CHG,sunni,oirats
2124,Yarkand,KAS,KAS,sunni,uyghur
2125,Kochkor,CHG,CHG,sunni,kirgiz
2126,Chuy,CHG,CHG,sunni,kirgiz
2127,Yashilkul,KAS,KAS,sunni,uzbehk
2128,Tsaparang,GUG,GUG,vajrayana,tibetan
2129,Changtang,NONE,NONE,NONE,NONE
2130,Nyingchi,PHA,PHA,vajrayana,tibetan
2131,Qamdo,PHA,PHA,vajrayana,tibetan
2132,Markam,PHA,PHA,vajrayana,tibetan
2133,Dege,KAM,KAM,vajrayana,tibetan
2134,Rebgong,PHA,PHA,vajrayana,tibetan
2135,Garze,KAM,KAM,vajrayana,tibetan
2136,Xuanhua,CSH,CSH,confucianism,jin
2137,Daming,CSH,CSH,confucianism,chihan
2138,Wuding,QIC,QIC,confucianism,shandong_culture
2139,Laizhou,QIC,QIC,confucianism,shandong_culture
2140,Yanzhou,QIC,QIC,confucianism,zhongyuan
2141,Xuzhou,LNG,LNG,confucianism,zhongyuan
2142,Huai'an,MNG,MNG,confucianism,jianghuai
2143,Fengyang,LNG,LNG,confucianism,zhongyuan
2144,Fuyang,LNG,LNG,confucianism,zhongyuan
2145,Zhenjiang,MNG,MNG,confucianism,jianghuai
2146,Ningguo,MNG,MNG,confucianism,wu
2147,Huizhou,WUU,WUU,confucianism,wu
2148,Shaoxin,WUU,WUU,confucianism,wu
2149,Ningbo,WUU,WUU,confucianism,wu
2150,Jinhua,WUU,WUU,confucianism,wu
2151,Poyang,WUU,WUU,confucianism,gan
2152,Jianning,WUU,WUU,confucianism,chimin
2153,Tingzhou,WUU,WUU,confucianism,hakka
2154,Tamsui,WUU,WUU,animism,chimin
2155,Middag,WUU,WUU,animism,chimin
2156,Chaochow,WUU,WUU,confucianism,chimin
2157,Waichow,WUU,WUU,confucianism,hakka
2158,Shiukwan,YUE,YUE,confucianism,hakka
2159,Leichow,WUU,WUU,confucianism,chimin
2160,Ngaichow,YUE,YUE,confucianism,chimin
2161,Limchow,YUE,YUE,confucianism,cantonese
2162,Ngchow,YUE,YUE,confucianism,cantonese
2163,Liuzhou,YUE,YUE,confucianism,zhuang
2164,Namning,YUE,YUE,confucianism,zhuang
2165,Pu'er,MMA,MMA,buddhism,bai
2166,Dehong,HSE,HSE,buddhism,shan
2167,Lijiang,MMA,MMA,buddhism,bai
2168,Bozhou,AYU,REB,animism,yi
2169,Langzhong,SHU,SHU,confucianism,sichuanese
2170,Songqu,MNG,MNG,vajrayana,tibetan
2171,Xiangyang,LNG,LNG,confucianism,hubei
